Algorithm: MVA
D for Peticiones at Sistema [s] 	Class 	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)
0.0027	 Peticiones	 113.3333358513026	 0.002941151966130006	 0.3060000067985171	 113.3333358513026	 1.1	 124.66666943643288
0.0064263157894736845	 Peticiones	 112.79373949681185	 0.00821753545579686	 0.7248481890821435	 112.79373949681185	 1.1	 124.07311344649305
0.010152631578947368	 Peticiones	 111.95022494946986	 0.0165676536730526	 1.1365893890922492	 111.95022494946986	 1.1	 123.14524744441685
0.013878947368421051	 Peticiones	 110.22964427907034	 0.03399622050430707	 1.5298714313889918	 110.22964427907034	 1.1	 121.25260870697738
0.017605263157894735	 Peticiones	 105.35690203925135	 0.08644338985433042	 1.8548359859015564	 105.35690203925135	 1.1	 115.8925922431765
0.02133157894736842	 Peticiones	 93.27860795726693	 0.24007145622569084	 1.9897799897410675	 93.27860795726693	 1.1	 102.60646875299364
0.025057894736842102	 Peticiones	 79.81106243291399	 0.46619892267528734	 1.9998972012794918	 79.81106243291399	 1.1	 87.79216867620539
0.028784210526315787	 Peticiones	 69.48252662892877	 0.6990134507854346	 1.9999996743874284	 69.48252662892877	 1.1	 76.43077929182165
0.03251052631578947	 Peticiones	 61.51853648701942	 0.9319078953767916	 1.9999999993700994	 61.51853648701942	 1.1	 67.67039013572136
0.03623684210526316	 Peticiones	 55.19244734928111	 1.164802631580136	 1.9999999999989497	 55.19244734928111	 1.1	 60.711692084209226
0.03996315789473684	 Peticiones	 50.046095087580625	 1.3976973684210545	 1.9999999999999982	 50.046095087580625	 1.1	 55.05070459633869
0.04368947368421052	 Peticiones	 45.77761715455971	 1.6305921052631571	 2.0000000000000004	 45.77761715455971	 1.1	 50.355378870015684
0.04741578947368421	 Peticiones	 42.18004218004218	 1.863486842105263	 2.0	 42.18004218004218	 1.1	 46.398046398046404
0.05114210526315789	 Peticiones	 39.106720181125866	 2.096381578947368	 2.0	 39.106720181125866	 1.1	 43.01739219923846
0.05486842105263158	 Peticiones	 36.45083932853717	 2.329276315789474	 2.0	 36.45083932853717	 1.1	 40.095923261390894
0.05859473684210526	 Peticiones	 34.13275846582233	 2.562171052631579	 1.9999999999999998	 34.13275846582233	 1.1	 37.546034312404565
0.062321052631578944	 Peticiones	 32.091884131407824	 2.795065789473684	 2.0	 32.091884131407824	 1.1	 35.30107254454861
0.06604736842105263	 Peticiones	 30.281297314527052	 3.02796052631579	 1.9999999999999998	 30.281297314527052	 1.1	 33.30942704597976
0.06977368421052631	 Peticiones	 28.66410198385759	 3.260855263157894	 2.0000000000000004	 28.66410198385759	 1.1	 31.530512182243353
0.0735	 Peticiones	 27.210884353741495	 3.49375	 1.9999999999999998	 27.210884353741495	 1.1	 29.931972789115648
