Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)
5.0	 Peticiones	 4.472736942605331	 0.017883762036660894	 0.07872017018985383	 4.472736942605331	 1.1	 4.9200106368658645
10.0	 Peticiones	 8.942425732901889	 0.018264808530304717	 0.15738669289907325	 8.942425732901889	 1.1	 9.836668306192077
15.0	 Peticiones	 13.40867714710977	 0.018678586666786845	 0.23599271778913197	 13.40867714710977	 1.1	 14.749544861820748
20.0	 Peticiones	 17.871034193949576	 0.019129412598360256	 0.31453020181351254	 17.871034193949576	 1.1	 19.658137613344536
25.0	 Peticiones	 22.328957049214896	 0.019622378461201878	 0.3929896440661822	 22.328957049214896	 1.1	 24.56185275413639
30.0	 Peticiones	 26.7818038922479	 0.020163530458962756	 0.4713597485035631	 26.7818038922479	 1.1	 29.459984281472693
35.0	 Peticiones	 31.228806321767802	 0.02076009692382995	 0.5496269912631133	 31.228806321767802	 1.1	 34.351686953944586
40.0	 Peticiones	 35.66903753452637	 0.021420782976872024	 0.6277750606076641	 35.66903753452637	 1.1	 39.23594128797901
45.0	 Peticiones	 40.10137074747186	 0.022156154795206467	 0.7057841251555048	 40.10137074747186	 1.1	 44.11150782221905
50.0	 Peticiones	 44.524424334883996	 0.022979145646718584	 0.7836298682939584	 44.524424334883996	 1.1	 48.976866768372396
55.0	 Peticiones	 48.93648868970431	 0.023905729091907288	 0.8612822009387959	 48.93648868970431	 1.1	 53.83013755867475
60.0	 Peticiones	 53.335427682292526	 0.0249558240613888	 0.9387035272083485	 53.335427682292526	 1.1	 58.66897045052178
65.0	 Peticiones	 57.71854444823144	 0.026154524882369377	 1.0158463822888735	 57.71854444823144	 1.1	 63.49039889305459
70.0	 Peticiones	 62.08239659486618	 0.027533791209802427	 1.0926501800696449	 62.08239659486618	 1.1	 68.2906362543528
75.0	 Peticiones	 66.4225390514891	 0.02913479476991796	 1.1690366873062081	 66.4225390514891	 1.1	 73.06479295663802
